عربي,English
شهد العالم الاسلامي أواخر القرن الخامس عشر و بداية القرن السادس عشر صراعا حادا بس ثلاث قوي هي دولة المماليك  و الدولة الصفوية و الدولة العثمانية .,"The Islamic world witnessed an intense conflict in the late fifteenth century and the beginning of the sixteenth century, but there were three powerful forces: the Mamluk state, the Safavid state, and the Ottoman state."
دولة المماليك قامت في مصر و الشام و الحجاز و جزء من ساحل افريقيا الشرقي المطل علي البحر الاحمر وقد تعرضت دولة المماليك في اواخر القرن ال 15 الميلادي لازمات مالية وتدهور اقتصادي بعد اكتشاف طريق راس الرجاء الصالح عام 1489م ,"The Mamluk state was established in Egypt, the Levant, Hijaz, and part of the eastern coast of Africa overlooking the Red Sea. In the late 15th century AD, the Mamluk state was exposed to financial crises and economic deterioration after the discovery of the Cape of Good Hope road in 1489 AD"
وتحطم الاسطول المملوكي عام 1509م في معركة ديو البحرية كما تعرضت لازمات سياسية بسبب اضطراب الامن و الصراع المستمر بين المماليك وكثر الفتن و الثورات الداخلية مما ادي الي اضعاف قوتهم العسكرية .,", and the destruction of the Mamluk fleet in 1509 AD in the Battle of Diu. The Navy was also exposed to political crises due to the security turmoil, the ongoing conflict between the Mamluks, and the many internal strife and revolutions, which led to the weakening of their military power."
"الدولة العثمانية مع بداية القرن السادس عشر الميلادي اتجه السلطان سليم الاول في غزواته نحو الشرق ، فكان الصدام العسكري مع الدولة الصفوية في ايران و الدولة المملوكية في الشام ومصر.","The Ottoman Empire: At the beginning of the sixteenth century AD, Sultan Selim I headed his conquests towards the East, and there was a military clash with the Safavid state in Iran and the Mamluk state in the Levant and Egypt."
الدولة الصفوية و بعد ان تمكن السلطان سليم الاول من هزيمة الصفويين في موقعة جالديران 1514 م ودخوله العاسمة تبريز اتجه بجيشه العثماني الي الدولة المملوكية في مصر  و الشام .,"The Safavid state. After Sultan Selim I was able to defeat the Safavids in the Battle of Chaldiran in 1514 AD and entered the capital city of Tabriz, he headed with his Ottoman army to the Mamluk state in Egypt and the Levant."
اتجه العثمانيين الي الي مصر و الشام بسبب رغبة السلطان سليم الاول في توسيع ممتلكاته في الشرق عن طريق الاستيلاء علي مصر التي تمثل قلب العالم الاسلامي و ايضا بسبب ادراك السلطان سليم الاول ان الصدام مع الدولة الاوروبية,"The Ottomans turned to Egypt and the Levant because of Sultan Selim I’s desire to expand his possessions in the East by seizing Egypt, which represents the heart of the Islamic world, and also because of Sultan Selim I’s realization that a clash with the European state "
في ذلك الوقت محفوق بالمخاطر بسبب تفوقهم حضاريا وعسكريا علي العثمانيين ومن هنا كان التوجه نحو الشرق لتحقيق السيطرة علي المنطقة ,at that time was fraught with danger because of their cultural and military superiority over the Ottomans. Hence the move towards the east to achieve control over the region.
استيلاء العثمانيين علي مصر و الشام في مرج دابق في اغسطس عام 1516م بادر السلطان العثماني سليم الاول بالاستيلاء علي امارة ذي القادر المملوكية التي تقع علي الحود بين الدولتين العثمانية والمملوكية فخرج السلطان الغوري للشام ودارت معركة بين المماليك والعثمانيين عند مرج دابق هزمت في القوات المملوكية .,"The Ottomans took control of Egypt and the Levant at Marj Dabiq in August 1516 AD. The Ottoman Sultan Selim I took the initiative to seize the Mamluk emirate of Dhu al-Qadir, which is located on the border between the Ottoman and Mamluk states. So Sultan al-Ghuri went to the Levant and a battle took place between the Mamluks and the Ottomans at Marj Dabiq and was defeated by the Mamluk forces."
التقي العثمانيون بجيوش طومان باي عند الريدانية بصحراء العباسية في يناير عام 1517م واسفرت المعركة عن هزيمة طومان باي وفوز العثمانيين ودخول العثمانيين القاهرة وهكذا انتهت دولة المماليك في مصر والشام وصارت مصر ولاية عثمانية .,"The Ottomans met the armies of Tuman Bey at Al-Raydaniyah in the Abbasid Desert in January 1517 AD. The battle resulted in the defeat of Tuman Bey, the victory of the Ottomans, and the entry of the Ottomans into Cairo. Thus, the Mamluk state in Egypt and the Levant ended, and Egypt became an Ottoman province."
تم هزيمة الجيوش المملوكية بسبب التفوق العسكري للجيش العثماني  و استخدام اساليب القتال الحديثة و الاسلحة المتطورة  و نزاع المماليك المستمر علي السلطة وعدم الاستقرار الداخلي .,"The Mamluk armies were defeated due to the military superiority of the Ottoman army, the use of modern fighting methods and advanced weapons, the ongoing Mamluk conflict over power, and internal instability."
